UID,Summary,Categories,Start,End
sl_77,Tamil Thai Pongal Day,"Public,Bank,Mercantile",2024-01-15,2024-01-16
sl_78,Duruthu Full Moon Poya Day,"Public,Bank",2024-01-25,2024-01-26
sl_79,Independence Day,"Public,Bank,Mercantile",2024-02-04,2024-02-05
sl_80,Nawam Full Moon Poya Day,"Public,Bank",2024-02-23,2024-02-24
sl_81,Maha Sivarathri Day,"Public,Bank",2024-03-08,2024-03-09
sl_82,Madin Full Moon Poya Day,"Public,Bank",2024-03-24,2024-03-25
sl_83,Good Friday,"Public,Bank",2024-03-29,2024-03-30
sl_84,Id-Ul-Fitr (Ramazan Festival Day),"Public,Bank",2024-04-11,2024-04-12
sl_85,Day prior to Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2024-04-12,2024-04-13
sl_86,Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2024-04-13,2024-04-14
sl_87,Bak Full Moon Poya Day,"Public,Bank",2024-04-23,2024-04-24
sl_88,May Day (International Workers’ Day),"Public,Bank,Mercantile",2024-05-01,2024-05-02
sl_89,Vesak Full Moon Poya Day,"Public,Bank",2024-05-23,2024-05-24
sl_90,Day following Vesak Full Moon Poya Day,"Public,Bank,Mercantile",2024-05-24,2024-05-25
sl_91,Id-Ul-Alha (Hadji Festival Day),"Public,Bank",2024-06-17,2024-06-18
sl_92,Poson Full Moon Poya Day,"Public,Bank",2024-06-21,2024-06-22
sl_93,Esala Full Moon Poya Day,"Public,Bank",2024-07-20,2024-07-21
sl_94,Nikini Full Moon Poya Day,"Public,Bank",2024-08-19,2024-08-20
sl_95,Milad-Un-Nabi (Holy Prophet’s Birthday),"Public,Bank,Mercantile",2024-09-16,2024-09-17
sl_96,Binara Full Moon Poya Day,"Public,Bank",2024-09-17,2024-09-18
sl_97,Vap Full Moon Poya Day,"Public,Bank",2024-10-17,2024-10-18
sl_98,Deepavali Festival Day,"Public,Bank",2024-10-31,2024-11-01
sl_99,Il Full Moon Poya Day,"Public,Bank",2024-11-15,2024-11-16
sl_100,Unduvap Full Moon Poya Day,"Public,Bank",2024-12-14,2024-12-15
sl_101,Christmas Day,"Public,Bank,Mercantile",2024-12-25,2024-12-26
