UID,Summary,Categories,Start,End
sl_127,Duruthu Full Moon Poya Day,"Public,Bank,Poya",2026-01-03,2026-01-04
sl_128,Tamil Thai Pongal Day,"Public,Bank,Mercantile",2026-01-15,2026-01-16
sl_129,Nawam Full Moon Poya Day,"Public,Bank,Poya",2026-02-01,2026-02-02
sl_130,Independence Day,"Public,Bank,Mercantile",2026-02-04,2026-02-05
sl_131,Maha Sivarathri Day,"Public,Bank",2026-02-15,2026-02-16
sl_132,Madin Full Moon Poya Day,"Public,Bank,Poya",2026-03-02,2026-03-03
sl_133,Id-Ul-Fitr (Ramazan Festival Day),"Public,Bank",2026-03-21,2026-03-22
sl_134,Bak Full Moon Poya Day,"Public,Bank,Poya",2026-04-01,2026-04-02
sl_135,Good Friday,"Public,Bank",2026-04-03,2026-04-04
sl_136,Day prior to Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2026-04-13,2026-04-14
sl_137,Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2026-04-14,2026-04-15
sl_138,May Day (International Workers’ Day),"Public,Bank,Mercantile",2026-05-01,2026-05-02
sl_139,Vesak Full Moon Poya Day,"Public,Bank,Poya",2026-05-01,2026-05-02
sl_140,Day following Vesak Full Moon Poya Day,"Public,Bank,Mercantile,Poya",2026-05-02,2026-05-03
sl_141,Id-Ul-Alha (Hadji Festival Day),"Public,Bank",2026-05-28,2026-05-29
sl_142,Adhi Poson Full Moon Poya Day,"Public,Bank,Poya",2026-05-30,2026-05-31
sl_143,Poson Full Moon Poya Day,"Public,Bank,Poya",2026-06-29,2026-06-30
sl_144,Esala Full Moon Poya Day,"Public,Bank,Poya",2026-07-29,2026-07-30
sl_145,Milad-Un-Nabi (Holy Prophet’s Birthday),"Public,Bank,Mercantile",2026-08-26,2026-08-27
sl_146,Nikini Full Moon Poya Day,"Public,Bank,Poya",2026-08-27,2026-08-28
sl_147,Binara Full Moon Poya Day,"Public,Bank,Poya",2026-09-26,2026-09-27
sl_148,Vap Full Moon Poya Day,"Public,Bank,Poya",2026-10-25,2026-10-26
sl_149,Deepavali Festival Day,"Public,Bank",2026-11-08,2026-11-09
sl_150,Il Full Moon Poya Day,"Public,Bank,Poya",2026-11-24,2026-11-25
sl_151,Unduvap Full Moon Poya Day,"Public,Bank,Poya",2026-12-23,2026-12-24
sl_152,Christmas Day,"Public,Bank,Mercantile",2026-12-25,2026-12-26
