UID,Summary,Categories,Start,End
sl_1,Tamil Thai Pongal Day,"Public,Bank,Mercantile",2021-01-14,2021-01-15
sl_2,Duruthu Full Moon Poya Day,"Public,Bank",2021-01-28,2021-01-29
sl_3,Independence Day,"Public,Bank,Mercantile",2021-02-04,2021-02-05
sl_4,Nawam Full Moon Poya Day,"Public,Bank",2021-02-26,2021-02-27
sl_5,Maha sivarathri Day,"Public,Bank",2021-03-11,2021-03-12
sl_6,Madin Full Moon Poya Day,"Public,Bank",2021-03-28,2021-03-29
sl_7,Good Friday,"Public,Bank",2021-04-02,2021-04-03
sl_8,Day prior to Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2021-04-13,2021-04-14
sl_9,Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2021-04-14,2021-04-15
sl_10,Bak Full Moon Poya Day,"Public,Bank",2021-04-26,2021-04-27
sl_11,May Day,"Public,Bank,Mercantile",2021-05-01,2021-05-02
sl_12,Id-Ul-Fitr (Ramazan Festival Day),"Public,Bank",2021-05-14,2021-05-15
sl_13,Vesak Full Moon Poya Day,"Public,Bank",2021-05-26,2021-05-27
sl_14,Day following Vesak Full Moon Poya Day,"Public,Bank,Mercantile",2021-05-27,2021-05-28
sl_15,Poson Full Moon Poya Day,"Public,Bank",2021-06-24,2021-06-25
sl_16,Id-Ul-Alha (Hadji Festival Day),"Public,Bank",2021-07-21,2021-07-22
sl_17,Esala Full Moon Poya Day,"Public,Bank",2021-07-23,2021-07-24
sl_18,Nikini Full Moon Poya Day,"Public,Bank",2021-08-22,2021-08-23
sl_19,Binara Full Moon Poya Day,"Public,Bank",2021-09-20,2021-09-21
sl_20,Milad-Un-Nabi (Holy Prophet’s Birthday),"Public,Bank,Mercantile",2021-10-19,2021-10-20
sl_21,Vap Full Moon Poya Day,"Public,Bank",2021-10-20,2021-10-21
sl_22,Deepavali Festival Day,"Public,Bank",2021-11-04,2021-11-05
sl_23,Il Full Moon Poya Day,"Public,Bank",2021-11-18,2021-11-19
sl_24,Unduvap Full Moon Poya Day,"Public,Bank",2021-12-18,2021-12-19
sl_25,Christmas Day,"Public,Bank,Mercantile",2021-12-25,2021-12-26
