UID,Summary,Categories,Start,End
sl_102,Duruthu Full Moon Poya Day,"Public,Bank",2025-01-13,2025-01-14
sl_103,Tamil Thai Pongal Day,"Public,Bank,Mercantile",2025-01-14,2025-01-15
sl_104,Independence Day,"Public,Bank,Mercantile",2025-02-04,2025-02-05
sl_105,Nawam Full Moon Poya Day,"Public,Bank",2025-02-12,2025-02-13
sl_106,Maha Sivarathri Day,"Public,Bank",2025-02-26,2025-02-27
sl_107,Madin Full Moon Poya Day,"Public,Bank",2025-03-13,2025-03-14
sl_108,Id-Ul-Fitr (Ramazan Festival Day),"Public,Bank",2025-03-31,2025-04-01
sl_109,Bak Full Moon Poya Day,"Public,Bank",2025-04-12,2025-04-13
sl_110,Day prior to Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2025-04-13,2025-04-14
sl_111,Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2025-04-14,2025-04-15
sl_112,Good Friday,"Public,Bank",2025-04-18,2025-04-19
sl_113,May Day (International Workers’ Day),"Public,Bank,Mercantile",2025-05-01,2025-05-02
sl_114,Vesak Full Moon Poya Day,"Public,Bank",2025-05-12,2025-05-13
sl_115,Day following Vesak Full Moon Poya Day,"Public,Bank,Mercantile",2025-05-13,2025-05-14
sl_116,Id-Ul-Alha (Hadji Festival Day),"Public,Bank",2025-06-07,2025-06-08
sl_117,Poson Full Moon Poya Day,"Public,Bank",2025-06-10,2025-06-11
sl_118,Esala Full Moon Poya Day,"Public,Bank",2025-07-10,2025-07-11
sl_119,Nikini Full Moon Poya Day,"Public,Bank",2025-08-08,2025-08-09
sl_120,Milad-Un-Nabi (Holy Prophet’s Birthday),"Public,Bank,Mercantile",2025-09-05,2025-09-06
sl_121,Binara Full Moon Poya Day,"Public,Bank",2025-09-07,2025-09-08
sl_122,Vap Full Moon Poya Day,"Public,Bank",2025-10-06,2025-10-07
sl_123,Deepavali Festival Day,"Public,Bank",2025-10-20,2025-10-21
sl_124,Il Full Moon Poya Day,"Public,Bank",2025-11-05,2025-11-06
sl_125,Unduvap Full Moon Poya Day,"Public,Bank",2025-12-04,2025-12-05
sl_126,Christmas Day,"Public,Bank,Mercantile",2025-12-25,2025-12-26
