UID,Summary,Categories,Start,End
sl_51,Duruthu Full Moon Poya Day,"Public,Bank",2023-01-06,2023-01-07
sl_52,Tamil Thai Pongal Day,"Public,Bank,Mercantile",2023-01-15,2023-01-16
sl_53,Independence Day,"Public,Bank,Mercantile",2023-02-04,2023-02-05
sl_54,Nawam Full Moon Poya Day,"Public,Bank",2023-02-05,2023-02-06
sl_55,Maha sivarathri Day,"Public,Bank",2023-03-18,2023-03-19
sl_56,Madin Full Moon Poya Day,"Public,Bank",2023-03-06,2023-03-07
sl_57,Bak Full Moon Poya Day,"Public,Bank",2023-04-05,2023-04-06
sl_58,Good Friday,"Public,Bank",2023-04-07,2023-04-08
sl_59,Day prior to Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2023-04-13,2023-04-14
sl_60,Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2023-04-14,2023-04-15
sl_61,Id-Ul-Fitr (Ramazan Festival Day),"Public,Bank",2023-04-22,2023-04-23
sl_62,May Day,"Public,Bank,Mercantile",2023-05-01,2023-05-02
sl_63,Vesak Full Moon Poya Day,"Public,Bank",2023-05-05,2023-05-06
sl_64,Day following Vesak Full Moon Poya Day,"Public,Bank,Mercantile",2023-05-06,2023-05-07
sl_65,Poson Full Moon Poya Day,"Public,Bank",2023-06-03,2023-06-04
sl_66,Id-Ul-Alha (Hadji Festival Day),"Public,Bank",2023-06-29,2023-06-30
sl_67,Adhi Esala Full Moon Poya Day,"Public,Bank",2023-07-03,2023-07-04
sl_68,Esala Full Moon Poya Day,"Public,Bank",2023-08-01,2023-08-02
sl_69,Nikini Full Moon Poya Day,"Public,Bank",2023-08-30,2023-08-31
sl_70,Milad-Un-Nabi (Holy Prophet’s Birthday),"Public,Bank,Mercantile",2023-09-28,2023-09-29
sl_71,Binara Full Moon Poya Day,"Public,Bank",2023-09-29,2023-09-30
sl_72,Vap Full Moon Poya Day,"Public,Bank",2023-10-28,2023-10-29
sl_73,Deepavali Festival Day,"Public,Bank",2023-11-12,2023-11-13
sl_74,Il Full Moon Poya Day,"Public,Bank",2023-11-26,2023-11-27
sl_75,Christmas Day,"Public,Bank,Mercantile",2023-12-25,2023-12-26
sl_76,Unduvap Full Moon Poya Day,"Public,Bank",2023-12-26,2023-12-27
